id,created,edited,title,Access Type,Category,Factsheet Status,Factsheet URL,Last Updated,Notes,Pricing,Tested,Tool ID,Tool Name
38135e21-8cf8-8181-8c73-cd789d7387b5,2026-06-16,2026-06-16,Sentry,MCP Natif,Dev / Monitoring,⬜ À documenter,,2026-06-16,,Freemium,,YT-92,Sentry
38135e21-8cf8-81dd-b1dc-f513f9549f50,2026-06-16,2026-06-16,Sentry,MCP Natif,Dev / Monitoring,⬜ À documenter,,2026-06-16,Error monitoring app crashes,Freemium,,YT-91,Sentry
38135e21-8cf8-81d7-affa-fe7ed541835b,2026-06-16,2026-06-16,Instagram,MCP Natif,CRM / Marketing,⬜ À documenter,,2026-06-16,,Inclus Y-OS,,YT-90,Instagram
38135e21-8cf8-8135-a9f0-d5d6edc43f19,2026-06-16,2026-06-16,Ferryhopper,MCP Natif,Travel,⬜ À documenter,,2026-06-16,,Free,,YT-89,Ferryhopper
38135e21-8cf8-81d8-a0d1-d6443338f6ea,2026-06-16,2026-06-16,Kiwi.com,MCP Natif,Travel,⬜ À documenter,,2026-06-16,,Free,,YT-88,Kiwi.com
38135e21-8cf8-8114-be20-e18201992449,2026-06-16,2026-06-16,Trivago,MCP Natif,Travel,⬜ À documenter,,2026-06-16,,Free,,YT-87,Trivago
38135e21-8cf8-818b-b00b-f30541b52831,2026-06-16,2026-06-16,Paste,MCP Natif,Security / Auth,⬜ À documenter,,2026-06-16,,Inconnu,,YT-86,Paste
38135e21-8cf8-817f-b515-d04664ede09e,2026-06-16,2026-06-16,1Password Y-OS,API Key,Security / Auth,⬜ À documenter,,2026-06-16,Vault Y-OS via OP_SERVICE_ACCOUNT_TOKEN,Payant,,YT-85,1Password Y-OS
38135e21-8cf8-8177-9c0e-d2e52f44b0bb,2026-06-16,2026-06-16,Serena,MCP Natif,Dev / Monitoring,⬜ À documenter,,2026-06-16,Code semantique,Free,,YT-84,Serena
38135e21-8cf8-81f3-ae58-c2c8ef844d14,2026-06-16,2026-06-16,Jam,MCP Natif,Dev / Monitoring,⬜ À documenter,,2026-06-16,Debug sessions,Freemium,,YT-83,Jam
38135e21-8cf8-8183-8ae3-dfcb1c25b7ee,2026-06-16,2026-06-16,Sentry,MCP Natif,Dev / Monitoring,⬜ À documenter,,2026-06-16,Error monitoring,Freemium,,YT-82,Sentry
38135e21-8cf8-8141-b6c8-f0b3da5a9bad,2026-06-16,2026-06-16,Hugging Face,MCP Natif,Dev / Monitoring,⬜ À documenter,,2026-06-16,"Modeles, datasets, papers",Freemium,,YT-81,Hugging Face
38135e21-8cf8-8147-95f0-f316349a1d65,2026-06-16,2026-06-16,📸 Instagram,MCP Natif,CRM / Marketing,⬜ À documenter,,2026-06-16,,Inclus Y-OS,,YT-80,📸 Instagram
38135e21-8cf8-81da-b098-cbe46f267263,2026-06-16,2026-06-16,🚢 Ferryhopper,MCP Natif,Travel,⬜ À documenter,,2026-06-16,,Free,,YT-79,🚢 Ferryhopper
38135e21-8cf8-8165-a71a-d6e5f92f5d43,2026-06-16,2026-06-16,✈️ ,MCP Natif,Travel,⬜ À documenter,,2026-06-16,,Free,,YT-78,✈️  Kiwi.com
38135e21-8cf8-8145-92b8-ef7b55166f67,2026-06-16,2026-06-16,🏨 Trivago,MCP Natif,Travel,⬜ À documenter,,2026-06-16,,Free,,YT-77,🏨 Trivago
38135e21-8cf8-81fa-8bbe-d56bca12507e,2026-06-16,2026-06-16,📋 Paste,MCP Natif,Security / Auth,⬜ À documenter,,2026-06-16,,Inconnu,,YT-76,📋 Paste
38135e21-8cf8-818f-9342-eba1f6d4cb27,2026-06-16,2026-06-16,🔑 1Password Y-OS,API Key,Security / Auth,⬜ À documenter,,2026-06-16,Vault Y-OS,Payant,,YT-75,🔑 1Password Y-OS
38135e21-8cf8-81cd-8460-f035aa21434e,2026-06-16,2026-06-16,🔧 Serena,MCP Natif,Dev / Monitoring,⬜ À documenter,,2026-06-16,Code sémantique,Free,,YT-74,🔧 Serena
38135e21-8cf8-810e-85e3-c8d1fa27e166,2026-06-16,2026-06-16,🐛 Jam,MCP Natif,Dev / Monitoring,⬜ À documenter,,2026-06-16,Debug sessions,Freemium,,YT-73,🐛 Jam
38135e21-8cf8-8171-8257-da0449bccc81,2026-06-16,2026-06-16,🐛 Sentry,MCP Natif,Dev / Monitoring,⬜ À documenter,,2026-06-16,Error monitoring,Freemium,,YT-72,🐛 Sentry
38135e21-8cf8-815d-943d-ef1db8673fc7,2026-06-16,2026-06-16,🤗 Hugging Face,MCP Natif,Dev / Monitoring,⬜ À documenter,,2026-06-16,"Modèles, datasets, papers",Freemium,,YT-71,🤗 Hugging Face
38135e21-8cf8-8117-80d9-cfca2ea77da3,2026-06-16,2026-06-16,🟣 Fathom MCP,MCP Natif,CRM / Marketing,✅ Documenté,https://app.notion.com/p/38135e218cf88149a6d6c8565503cd57,2026-06-16,Analytics,Freemium,True,YT-61,🟣 Fathom MCP
38135e21-8cf8-8121-a418-d6ca76312c75,2026-06-16,2026-06-16,🚢 Ferryhopper,MCP Natif,Travel,⬜ À documenter,,2026-06-16,,Free,,YT-70,🚢 Ferryhopper
38135e21-8cf8-8123-aa36-cea9107cbbac,2026-06-16,2026-06-16,🐛 Sentry,MCP Natif,Dev / Monitoring,⬜ À documenter,,2026-06-16,Error monitoring,Freemium,,YT-63,🐛 Sentry
38135e21-8cf8-8131-bd8f-e52e9b0a4003,2026-06-16,2026-06-16,📋 Paste,MCP Natif,Security / Auth,⬜ À documenter,,2026-06-16,,Inconnu,,YT-67,📋 Paste
38135e21-8cf8-8139-b19f-c48bc3d31f14,2026-06-16,2026-06-16,🔑 1Password Y-OS,API Key,Security / Auth,⬜ À documenter,,2026-06-16,Vault Y-OS via OP_SERVICE_ACCOUNT_TOKEN,Payant,,YT-66,🔑 1Password Y-OS
38135e21-8cf8-8149-8553-ea0d098c5791,2026-06-16,2026-06-16,🐛 Jam,MCP Natif,Dev / Monitoring,⬜ À documenter,,2026-06-16,Debug sessions,Freemium,,YT-64,🐛 Jam
38135e21-8cf8-81b4-8747-e9dc391e0322,2026-06-16,2026-06-16,✈️ ,MCP Natif,Travel,⬜ À documenter,,2026-06-16,,Free,,YT-69,✈️  Kiwi.com
38135e21-8cf8-81cc-9f9d-c26594d9e026,2026-06-16,2026-06-16,🏨 Trivago,MCP Natif,Travel,⬜ À documenter,,2026-06-16,,Free,,YT-68,🏨 Trivago
38135e21-8cf8-81d9-bec6-cee513a9d2b5,2026-06-16,2026-06-16,🔧 Serena,MCP Natif,Dev / Monitoring,⬜ À documenter,,2026-06-16,Code sémantique,Free,,YT-65,🔧 Serena
38135e21-8cf8-81f4-9862-dc6739522f45,2026-06-16,2026-06-16,🤗 Hugging Face,MCP Natif,Dev / Monitoring,⬜ À documenter,,2026-06-16,"Modèles, datasets, papers",Freemium,,YT-62,🤗 Hugging Face
38135e21-8cf8-811c-b9ca-c9ca2cde354b,2026-06-16,2026-06-16,🚀 Vercel,MCP Natif,Web Dev / Hosting,⬜ À documenter,,2026-06-16,,Freemium,,YT-56,🚀 Vercel
38135e21-8cf8-8132-bab8-e8dfebc4a3be,2026-06-16,2026-06-16,📋 Jotform,MCP Natif,CRM / Marketing,⬜ À documenter,,2026-06-16,Formulaires,Freemium,,YT-59,📋 Jotform
38135e21-8cf8-815d-b377-c070925d90ac,2026-06-16,2026-06-16,📸 Instagram,MCP Natif,CRM / Marketing,⬜ À documenter,,2026-06-16,,Inclus Y-OS,,YT-60,📸 Instagram
38135e21-8cf8-816a-83e6-c0fe5531ff3a,2026-06-16,2026-06-16,📊 Airtable,MCP Natif,Database / Backend,⬜ À documenter,,2026-06-16,,Freemium,,YT-51,📊 Airtable
38135e21-8cf8-8173-840a-f8fa76512722,2026-06-16,2026-06-16,🌐 Wix,MCP Natif,Web Dev / Hosting,⬜ À documenter,,2026-06-16,,Freemium,,YT-54,🌐 Wix
38135e21-8cf8-8175-94e1-d489cf77f938,2026-06-16,2026-06-16,💳 Stripe,MCP Natif,CRM / Marketing,⬜ À documenter,,2026-06-16,"Paiements, abonnements",Payant,,YT-58,💳 Stripe
38135e21-8cf8-81af-b98f-e453847b0554,2026-06-16,2026-06-16,🌐 Webflow,MCP Natif,Web Dev / Hosting,⬜ À documenter,,2026-06-16,,Payant,,YT-53,🌐 Webflow
38135e21-8cf8-81b1-87ce-c30db5672ca1,2026-06-16,2026-06-16,📦 Dropbox,MCP Natif,Database / Backend,⬜ À documenter,,2026-06-16,,Freemium,,YT-52,📦 Dropbox
38135e21-8cf8-81e9-b704-e14629fb0f72,2026-06-16,2026-06-16,🚀 Netlify,MCP Natif,Web Dev / Hosting,⬜ À documenter,,2026-06-16,,Freemium,,YT-55,🚀 Netlify
38135e21-8cf8-81fb-8651-e398a298a806,2026-06-16,2026-06-16,🤝 HubSpot,MCP Natif,CRM / Marketing,⬜ À documenter,,2026-06-16,,Freemium,,YT-57,🤝 HubSpot
38135e21-8cf8-813d-a97b-d066bcea0174,2026-06-16,2026-06-16,🎨 Canva,MCP Natif,Design / Visual,⬜ À documenter,,2026-06-16,,Freemium,,YT-47,🎨 Canva
38135e21-8cf8-8145-867f-deab8dd343ff,2026-06-16,2026-06-16,🔵 Calendly MCP,MCP Natif,Scheduling / Communication,✅ Documenté,https://app.notion.com/p/38135e218cf88176af78c17cd497c2c0,2026-06-16,,Freemium,True,YT-42,🔵 Calendly MCP
38135e21-8cf8-8145-9f0d-c53efc5c20ab,2026-06-16,2026-06-16,🎙️ Plaud MCP Connector,MCP Natif,Transcription / Meetings,✅ Documenté,https://app.notion.com/p/38135e218cf881d097aae21783e428fd,2026-06-16,Enregistreur physique + transcription,Payant,True,YT-41,🎙️ Plaud MCP Connector
38135e21-8cf8-815a-b07d-cd2efa301aa2,2026-06-16,2026-06-16,🟨 Miro MCP Connector,MCP Natif,Design / Visual,✅ Documenté,https://app.notion.com/p/38135e218cf8811dbc56df2f185886a4,2026-06-16,,Freemium,True,YT-46,🟨 Miro MCP Connector
38135e21-8cf8-8195-bf3b-c2485c268ee1,2026-06-16,2026-06-16,📧 Gmail,MCP Natif,Scheduling / Communication,⬜ À documenter,,2026-06-16,,Inclus Y-OS,,YT-43,📧 Gmail
38135e21-8cf8-81c6-9aed-d995cb9a9f42,2026-06-16,2026-06-16,📈 Mermaid Chart,MCP Natif,Design / Visual,⬜ À documenter,,2026-06-16,Diagrammes Mermaid,Freemium,,YT-49,📈 Mermaid Chart
38135e21-8cf8-81d5-8c1d-c32cd1e7a458,2026-06-16,2026-06-16,📅 Google Calendar,MCP Natif,Scheduling / Communication,⬜ À documenter,,2026-06-16,,Inclus Y-OS,,YT-44,📅 Google Calendar
38135e21-8cf8-81e3-9073-fb05d08c7fec,2026-06-16,2026-06-16,📞 Twilio Documentation MCP,MCP Natif,Scheduling / Communication,✅ Documenté,https://app.notion.com/p/38135e218cf88163b4d4c7f6b72fa3fe,2026-06-16,,Payant,True,YT-45,📞 Twilio Documentation MCP
38135e21-8cf8-81eb-8721-d2f5546fd93d,2026-06-16,2026-06-16,🔵 Cloudinary Asset MCP,MCP Natif,Design / Visual,✅ Documenté,https://app.notion.com/p/38135e218cf88128959de8fb5eb23ecb,2026-06-16,,Freemium,True,YT-48,🔵 Cloudinary Asset MCP
38135e21-8cf8-81f1-9912-f8dc4df97a37,2026-06-16,2026-06-16,🗄️ Supabase,MCP Natif,Database / Backend,⬜ À documenter,,2026-06-16,,Freemium,,YT-50,🗄️ Supabase
38135e21-8cf8-8119-ae99-ed724c663cd4,2026-06-16,2026-06-16,✅ ClickUp,MCP Natif,Project Management,⬜ À documenter,,2026-06-16,32 outils,Freemium,,YT-36,✅ ClickUp
38135e21-8cf8-8124-9bf3-db99db4db437,2026-06-16,2026-06-16,✅ Todoist,MCP Natif,Project Management,⬜ À documenter,,2026-06-16,,Freemium,,YT-38,✅ Todoist
38135e21-8cf8-8128-872e-eabd0840971a,2026-06-16,2026-06-16,📋 Wrike,MCP Natif,Project Management,⬜ À documenter,,2026-06-16,,Freemium,,YT-33,📋 Wrike
38135e21-8cf8-816e-b40b-ed67f2408c14,2026-06-16,2026-06-16,🔥 Fireflies MCP Connector,MCP Natif,Transcription / Meetings,✅ Documenté,https://app.notion.com/p/38135e218cf881a682aac91143af142d,2026-06-16,,Freemium,True,YT-40,🔥 Fireflies MCP Connector
38135e21-8cf8-8176-ad65-e01bfce7667b,2026-06-16,2026-06-16,💬 Slack,MCP Natif,Project Management,⬜ À documenter,,2026-06-16,Communication équipe,Freemium,,YT-32,💬 Slack
38135e21-8cf8-81b0-ad9a-d98d194bf88a,2026-06-16,2026-06-16,📊 ,MCP Natif,Project Management,⬜ À documenter,,2026-06-16,41 outils,Payant,,YT-35,📊  Monday.com
38135e21-8cf8-81c6-bdea-ef6295743f8e,2026-06-16,2026-06-16,🔗 Linear,MCP Natif,Project Management,⬜ À documenter,,2026-06-16,Dev / issue tracking,Freemium,,YT-37,🔗 Linear
38135e21-8cf8-81d0-a376-c0e45e296811,2026-06-16,2026-06-16,✅ Asana,MCP Natif,Project Management,⬜ À documenter,,2026-06-16,,Freemium,,YT-34,✅ Asana
38135e21-8cf8-81ef-bc4f-db8018ea82d2,2026-06-16,2026-06-16,🎙️ ,MCP Natif,Transcription / Meetings,✅ Documenté,https://app.notion.com/p/38135e218cf8817fb22ae6730d032577,2026-06-16,,Freemium,True,YT-39,🎙️  Otter.ai  MCP
38135e21-8cf8-81f0-be86-d5ff2e6caa42,2026-06-16,2026-06-16,🔌 Taskade MCP Connector,MCP Natif,Project Management,✅ Documenté,https://app.notion.com/p/38135e218cf8819c8c15d02a2449f722,2026-06-16,57 outils,Freemium,True,YT-31,🔌 Taskade MCP Connector
38135e21-8cf8-810a-bdcd-c7f7c50dd9dd,2026-06-16,2026-06-16,🔥 Firecrawl,MCP Natif,Web Scraping / Automation,⬜ À documenter,,2026-06-16,Scraping + crawl avancé,Freemium,,YT-24,🔥 Firecrawl
38135e21-8cf8-811a-b8c1-f9e91ce3134b,2026-06-16,2026-06-16,🎭 Playwright,MCP Natif,Web Scraping / Automation,⬜ À documenter,,2026-06-16,Automation browser headless,Free,,YT-27,🎭 Playwright
38135e21-8cf8-811d-9b5b-cd381cc3d086,2026-06-16,2026-06-16,⚙️ Make,MCP Natif,Automation / Workflows,⬜ À documenter,,2026-06-16,"Automation complexe, scénarios On Demand",Freemium,,YT-29,⚙️ Make
38135e21-8cf8-8120-aacf-db040c4d978c,2026-06-16,2026-06-16,🟠 Semrush MCP,MCP Natif,SEO / Research,✅ Documenté,https://app.notion.com/p/38135e218cf881b38cb5fd75fcbc5142,2026-06-16,,Payant,True,YT-21,🟠 Semrush MCP
38135e21-8cf8-812b-945e-d0196d02a619,2026-06-16,2026-06-16,🧠 HARPA Grid,REST API Only,Web Scraping / Automation,⬜ À documenter,,2026-06-16,Automation navigateur + AI sur pages web,Payant,,YT-26,🧠 HARPA Grid
38135e21-8cf8-812d-8826-ce10b656363c,2026-06-16,2026-06-16,🔍 Ahrefs MCP,MCP Natif,SEO / Research,✅ Documenté,https://app.notion.com/p/38135e218cf88114b5abd77f1ae813ce,2026-06-16,,Payant,True,YT-22,🔍 Ahrefs MCP
38135e21-8cf8-8160-bfc8-fe68414625a6,2026-06-16,2026-06-16,🔵 Apify MCP,MCP Natif,Web Scraping / Automation,✅ Documenté,https://app.notion.com/p/38135e218cf88109ba01fac899621b35,2026-06-16,,Freemium,True,YT-23,🔵 Apify MCP
38135e21-8cf8-8195-b84e-c5e9683154a1,2026-06-16,2026-06-16,🤖 Dify,MCP Natif,Automation / Workflows,⬜ À documenter,,2026-06-16,Workflows LLM personnalisés,Freemium,,YT-30,🤖 Dify
38135e21-8cf8-81ad-a141-cc76956e1246,2026-06-16,2026-06-16,⚡ Zapier,MCP Natif,Automation / Workflows,⬜ À documenter,,2026-06-16,Automation rapide inter-apps,Freemium,,YT-28,⚡ Zapier
38135e21-8cf8-81bf-aa46-cf0e0d79e923,2026-06-16,2026-06-16,🌐 Anchor Browser,REST API Only,Web Scraping / Automation,⬜ À documenter,,2026-06-16,Sessions browser cloud anti-bot,Payant,,YT-25,🌐 Anchor Browser
38135e21-8cf8-8100-9215-f5e222c0ed1f,2026-06-16,2026-06-16,🎬 HeyGen,MCP Natif,Image / Video / Voice AI,⬜ À documenter,,2026-06-16,Avatars vidéo IA,Payant,,YT-11,🎬 HeyGen
38135e21-8cf8-810d-81fc-c4c32ce54bc6,2026-06-16,2026-06-16,🎵 MiniMax,MCP Natif,Image / Video / Voice AI,⬜ À documenter,,2026-06-16,"Voix, image, vidéo, musique",Freemium,,YT-13,🎵 MiniMax
38135e21-8cf8-8112-b802-f7fc593c4084,2026-06-16,2026-06-16,🎬 Higgsfield,MCP Natif,Image / Video / Voice AI,⬜ À documenter,,2026-06-16,Vidéo/image cinématique IA,Payant,,YT-12,🎬 Higgsfield
38135e21-8cf8-8114-8966-c5e715c27fb2,2026-06-16,2026-06-16,📝 Notion (MCP natif),MCP Natif,Memory / Knowledge,⬜ À documenter,,2026-06-16,Store principal Y-OS,Freemium,,YT-18,📝 Notion (MCP natif)
38135e21-8cf8-811b-bdf1-c27135fca709,2026-06-16,2026-06-16,🎙️ ElevenLabs,MCP Natif,Image / Video / Voice AI,⬜ À documenter,,2026-06-16,"TTS haute qualité, clonage vocal",Freemium,,YT-14,🎙️ ElevenLabs
38135e21-8cf8-8154-94a2-cc955b8260ef,2026-06-16,2026-06-16,🧠 Mem0 Platform,REST API Only,Memory / Knowledge,✅ Documenté,https://app.notion.com/p/38135e218cf88166a16dd49fee15e1a6,2026-06-16,Mémoire cross-session,Freemium,True,YT-16,🧠 Mem0 Platform
38135e21-8cf8-8184-a2d8-cf1058b14ce1,2026-06-16,2026-06-16,😊 Hume (Voice / Emotion AI),MCP Natif,Image / Video / Voice AI,⬜ À documenter,,2026-06-16,"TTS expressif, Conversational AI",Freemium,,YT-15,😊 Hume (Voice / Emotion AI)
38135e21-8cf8-81c5-94d8-d460ea3855de,2026-06-16,2026-06-16,📝 Notion2,MCP Natif,Memory / Knowledge,⬜ À documenter,,2026-06-16,Second compte Notion,Freemium,,YT-19,📝 Notion2
38135e21-8cf8-81ce-93c5-c5fcb9912c3a,2026-06-16,2026-06-16,🧠 Mem MCP Connector,MCP Natif,Memory / Knowledge,✅ Documenté,https://app.notion.com/p/38135e218cf881c4a460f476264e112c,2026-06-16,,Freemium,True,YT-17,🧠 Mem MCP Connector
38135e21-8cf8-81f2-9d60-dd147b5cbee2,2026-06-16,2026-06-16,📚 Context7,MCP Natif,Memory / Knowledge,⬜ À documenter,,2026-06-16,Documentation technique en temps réel,Freemium,,YT-20,📚 Context7
38135e21-8cf8-8131-8b0f-cd5cb70184b4,2026-06-16,2026-06-16,🤖 Grok (xAI),REST API Only,LLM / AI,⬜ À documenter,,2026-06-16,Préféré pour X/web,Payant,,YT-6,🤖 Grok (xAI)
38135e21-8cf8-8133-a8ce-f7a00ab210b0,2026-06-16,2026-06-16,🤖 Google Gemini,REST API Only,LLM / AI,⬜ À documenter,,2026-06-16,Préféré pour longs documents,Payant,,YT-5,🤖 Google Gemini
38135e21-8cf8-8146-be26-d4841e5524ea,2026-06-16,2026-06-16,🤖 OpenAI (GPT-5),REST API Only,LLM / AI,⬜ À documenter,,2026-06-16,Via OPENAI_API_KEY env var,Payant,,YT-3,🤖 OpenAI (GPT-5)
38135e21-8cf8-816e-93b0-fb1eeeb55bbc,2026-06-16,2026-06-16,🔌 MailerLite MCP Connector,MCP Natif,Email Marketing,✅ Documenté,https://app.notion.com/p/38135e218cf881c58372f91baae502f5,2026-06-16,,Freemium,True,YT-2,🔌 MailerLite MCP Connector
38135e21-8cf8-8186-b389-dd558fcc6c9b,2026-06-16,2026-06-16,🖼️ Replicate,REST API Only,Image / Video / Voice AI,⬜ À documenter,,2026-06-16,1000+ modèles IA via REPLICATE_API_TOKEN,Payant,,YT-10,🖼️ Replicate
38135e21-8cf8-818c-969b-d4094e3e4bcd,2026-06-16,2026-06-16,🔍 Perplexity (Sonar),REST API Only,LLM / AI,⬜ À documenter,,2026-06-16,Recherche web temps réel avec citations,Payant,,YT-8,🔍 Perplexity (Sonar)
38135e21-8cf8-8194-8c9a-e4b0bce9a927,2026-06-16,2026-06-16,🤖 OpenRouter,REST API Only,LLM / AI,⬜ À documenter,,2026-06-16,Accès unifié multi-modèles,Payant,,YT-7,🤖 OpenRouter
38135e21-8cf8-8195-adf7-f9d122979415,2026-06-16,2026-06-16,🤖 Anthropic Claude,REST API Only,LLM / AI,⬜ À documenter,,2026-06-16,Défaut Y-OS pour texte/code,Payant,,YT-4,🤖 Anthropic Claude
38135e21-8cf8-819e-ace4-f90847d93589,2026-06-16,2026-06-16,📧 Klaviyo MCP,MCP + REST API,Email Marketing,✅ Testé Live,https://app.notion.com/p/38135e218cf88141abb8c51867586af3,2026-06-16,39 outils MCP. create_list + assign-template via REST uniquement. Consentement SUBSCRIBED obligatoire avant envoi.,Freemium,True,YT-1,📧 Klaviyo MCP
38135e21-8cf8-81a3-beaf-c29bc43f12b3,2026-06-16,2026-06-16,🖼️ Flux MCP Connector,MCP Natif,Image / Video / Voice AI,✅ Documenté,https://app.notion.com/p/38135e218cf881809409f18eb13d68d1,2026-06-16,,Payant,True,YT-9,🖼️ Flux MCP Connector
